>>>Applying grid seach
>>>Generanting test/train split
Fitting 5 folds for each of 576 candidates, totalling 2880 fits
0 params - {'clf__algorithm': 'SAMME', 'clf__learning_rate': 0.3, 'clf__n_estimators': 30, 'vect__ngram_range': (1, 1), 'vect__norm': 'l1', 'vect__smooth_idf': True}; mean - 0.65; std - 0.00
1 params - {'clf__algorithm': 'SAMME', 'clf__learning_rate': 0.3, 'clf__n_estimators': 30, 'vect__ngram_range': (1, 1), 'vect__norm': 'l1', 'vect__smooth_idf': False}; mean - 0.65; std - 0.00
2 params - {'clf__algorithm': 'SAMME', 'clf__learning_rate': 0.3, 'clf__n_estimators': 30, 'vect__ngram_range': (1, 1), 'vect__norm': 'l2', 'vect__smooth_idf': True}; mean - 0.65; std - 0.00
3 params - {'clf__algorithm': 'SAMME', 'clf__learning_rate': 0.3, 'clf__n_estimators': 30, 'vect__ngram_range': (1, 1), 'vect__norm': 'l2', 'vect__smooth_idf': False}; mean - 0.65; std - 0.00
4 params - {'clf__algorithm': 'SAMME', 'clf__learning_rate': 0.3, 'clf__n_estimators': 30, 'vect__ngram_range': (1, 2), 'vect__norm': 'l1', 'vect__smooth_idf': True}; mean - 0.65; std - 0.00
5 params - {'clf__algorithm': 'SAMME', 'clf__learning_rate': 0.3, 'clf__n_estimators': 30, 'vect__ngram_range': (1, 2), 'vect__norm': 'l1', 'vect__smooth_idf': False}; mean - 0.65; std - 0.00
6 params - {'clf__algorithm': 'SAMME', 'clf__learning_rate': 0.3, 'clf__n_estimators': 30, 'vect__ngram_range': (1, 2), 'vect__norm': 'l2', 'vect__smooth_idf': True}; mean - 0.65; std - 0.01
7 params - {'clf__algorithm': 'SAMME', 'clf__learning_rate': 0.3, 'clf__n_estimators': 30, 'vect__ngram_range': (1, 2), 'vect__norm': 'l2', 'vect__smooth_idf': False}; mean - 0.65; std - 0.00
8 params - {'clf__algorithm': 'SAMME', 'clf__learning_rate': 0.3, 'clf__n_estimators': 30, 'vect__ngram_range': (2, 2), 'vect__norm': 'l1', 'vect__smooth_idf': True}; mean - 0.62; std - 0.00
9 params - {'clf__algorithm': 'SAMME', 'clf__learning_rate': 0.3, 'clf__n_estimators': 30, 'vect__ngram_range': (2, 2), 'vect__norm': 'l1', 'vect__smooth_idf': False}; mean - 0.62; std - 0.00
10 params - {'clf__algorithm': 'SAMME', 'clf__learning_rate': 0.3, 'clf__n_estimators': 30, 'vect__ngram_range': (2, 2), 'vect__norm': 'l2', 'vect__smooth_idf': True}; mean - 0.62; std - 0.00
11 params - {'clf__algorithm': 'SAMME', 'clf__learning_rate': 0.3, 'clf__n_estimators': 30, 'vect__ngram_range': (2, 2), 'vect__norm': 'l2', 'vect__smooth_idf': False}; mean - 0.62; std - 0.00
12 params - {'clf__algorithm': 'SAMME', 'clf__learning_rate': 0.3, 'clf__n_estimators': 50, 'vect__ngram_range': (1, 1), 'vect__norm': 'l1', 'vect__smooth_idf': True}; mean - 0.66; std - 0.01
13 params - {'clf__algorithm': 'SAMME', 'clf__learning_rate': 0.3, 'clf__n_estimators': 50, 'vect__ngram_range': (1, 1), 'vect__norm': 'l1', 'vect__smooth_idf': False}; mean - 0.66; std - 0.01
14 params - {'clf__algorithm': 'SAMME', 'clf__learning_rate': 0.3, 'clf__n_estimators': 50, 'vect__ngram_range': (1, 1), 'vect__norm': 'l2', 'vect__smooth_idf': True}; mean - 0.66; std - 0.01
15 params - {'clf__algorithm': 'SAMME', 'clf__learning_rate': 0.3, 'clf__n_estimators': 50, 'vect__ngram_range': (1, 1), 'vect__norm': 'l2', 'vect__smooth_idf': False}; mean - 0.66; std - 0.01
16 params - {'clf__algorithm': 'SAMME', 'clf__learning_rate': 0.3, 'clf__n_estimators': 50, 'vect__ngram_range': (1, 2), 'vect__norm': 'l1', 'vect__smooth_idf': True}; mean - 0.66; std - 0.01
17 params - {'clf__algorithm': 'SAMME', 'clf__learning_rate': 0.3, 'clf__n_estimators': 50, 'vect__ngram_range': (1, 2), 'vect__norm': 'l1', 'vect__smooth_idf': False}; mean - 0.66; std - 0.01
18 params - {'clf__algorithm': 'SAMME', 'clf__learning_rate': 0.3, 'clf__n_estimators': 50, 'vect__ngram_range': (1, 2), 'vect__norm': 'l2', 'vect__smooth_idf': True}; mean - 0.65; std - 0.01
