>>>Applying grid seach
>>>Generanting test/train split
Fitting 5 folds for each of 192 candidates, totalling 960 fits
0 params - {'clf__dual': True, 'clf__loss': 'hinge', 'vect__ngram_range': (1, 1), 'vect__norm': 'l1', 'vect__smooth_idf': True, 'vect__sublinear_tf': True, 'vect__use_idf': True}; mean - 0.78; std - 0.01
1 params - {'clf__dual': True, 'clf__loss': 'hinge', 'vect__ngram_range': (1, 1), 'vect__norm': 'l1', 'vect__smooth_idf': True, 'vect__sublinear_tf': True, 'vect__use_idf': False}; mean - 0.80; std - 0.00
2 params - {'clf__dual': True, 'clf__loss': 'hinge', 'vect__ngram_range': (1, 1), 'vect__norm': 'l1', 'vect__smooth_idf': True, 'vect__sublinear_tf': False, 'vect__use_idf': True}; mean - 0.78; std - 0.01
3 params - {'clf__dual': True, 'clf__loss': 'hinge', 'vect__ngram_range': (1, 1), 'vect__norm': 'l1', 'vect__smooth_idf': True, 'vect__sublinear_tf': False, 'vect__use_idf': False}; mean - 0.81; std - 0.01
4 params - {'clf__dual': True, 'clf__loss': 'hinge', 'vect__ngram_range': (1, 1), 'vect__norm': 'l1', 'vect__smooth_idf': False, 'vect__sublinear_tf': True, 'vect__use_idf': True}; mean - 0.78; std - 0.01
5 params - {'clf__dual': True, 'clf__loss': 'hinge', 'vect__ngram_range': (1, 1), 'vect__norm': 'l1', 'vect__smooth_idf': False, 'vect__sublinear_tf': True, 'vect__use_idf': False}; mean - 0.80; std - 0.00
6 params - {'clf__dual': True, 'clf__loss': 'hinge', 'vect__ngram_range': (1, 1), 'vect__norm': 'l1', 'vect__smooth_idf': False, 'vect__sublinear_tf': False, 'vect__use_idf': True}; mean - 0.78; std - 0.01
7 params - {'clf__dual': True, 'clf__loss': 'hinge', 'vect__ngram_range': (1, 1), 'vect__norm': 'l1', 'vect__smooth_idf': False, 'vect__sublinear_tf': False, 'vect__use_idf': False}; mean - 0.81; std - 0.01
8 params - {'clf__dual': True, 'clf__loss': 'hinge', 'vect__ngram_range': (1, 1), 'vect__norm': 'l2', 'vect__smooth_idf': True, 'vect__sublinear_tf': True, 'vect__use_idf': True}; mean - 0.76; std - 0.00
9 params - {'clf__dual': True, 'clf__loss': 'hinge', 'vect__ngram_range': (1, 1), 'vect__norm': 'l2', 'vect__smooth_idf': True, 'vect__sublinear_tf': True, 'vect__use_idf': False}; mean - 0.77; std - 0.00
10 params - {'clf__dual': True, 'clf__loss': 'hinge', 'vect__ngram_range': (1, 1), 'vect__norm': 'l2', 'vect__smooth_idf': True, 'vect__sublinear_tf': False, 'vect__use_idf': True}; mean - 0.77; std - 0.00
11 params - {'clf__dual': True, 'clf__loss': 'hinge', 'vect__ngram_range': (1, 1), 'vect__norm': 'l2', 'vect__smooth_idf': True, 'vect__sublinear_tf': False, 'vect__use_idf': False}; mean - 0.77; std - 0.00
12 params - {'clf__dual': True, 'clf__loss': 'hinge', 'vect__ngram_range': (1, 1), 'vect__norm': 'l2', 'vect__smooth_idf': False, 'vect__sublinear_tf': True, 'vect__use_idf': True}; mean - 0.76; std - 0.00
13 params - {'clf__dual': True, 'clf__loss': 'hinge', 'vect__ngram_range': (1, 1), 'vect__norm': 'l2', 'vect__smooth_idf': False, 'vect__sublinear_tf': True, 'vect__use_idf': False}; mean - 0.77; std - 0.00
14 params - {'clf__dual': True, 'clf__loss': 'hinge', 'vect__ngram_range': (1, 1), 'vect__norm': 'l2', 'vect__smooth_idf': False, 'vect__sublinear_tf': False, 'vect__use_idf': True}; mean - 0.77; std - 0.00
15 params - {'clf__dual': True, 'clf__loss': 'hinge', 'vect__ngram_range': (1, 1), 'vect__norm': 'l2', 'vect__smooth_idf': False, 'vect__sublinear_tf': False, 'vect__use_idf': False}; mean - 0.77; std - 0.00
16 params - {'clf__dual': True, 'clf__loss': 'hinge', 'vect__ngram_range': (1, 2), 'vect__norm': 'l1', 'vect__smooth_idf': True, 'vect__sublinear_tf': True, 'vect__use_idf': True}; mean - 0.80; std - 0.01
17 params - {'clf__dual': True, 'clf__loss': 'hinge', 'vect__ngram_range': (1, 2), 'vect__norm': 'l1', 'vect__smooth_idf': True, 'vect__sublinear_tf': True, 'vect__use_idf': False}; mean - 0.80; std - 0.01
18 params - {'clf__dual': True, 'clf__loss': 'hinge', 'vect__ngram_range': (1, 2), 'vect__norm': 'l1', 'vect__smooth_idf': True, 'vect__sublinear_tf': False, 'vect__use_idf': True}; mean - 0.80; std - 0.01
19 params - {'clf__dual': True, 'clf__loss': 'hinge', 'vect__ngram_range': (1, 2), 'vect__norm': 'l1', 'vect__smooth_idf': True, 'vect__sublinear_tf': False, 'vect__use_idf': False}; mean - 0.80; std - 0.01
20 params - {'clf__dual': True, 'clf__loss': 'hinge', 'vect__ngram_range': (1, 2), 'vect__norm': 'l1', 'vect__smooth_idf': False, 'vect__sublinear_tf': True, 'vect__use_idf': True}; mean - 0.80; std - 0.01
21 params - {'clf__dual': True, 'clf__loss': 'hinge', 'vect__ngram_range': (1, 2), 'vect__norm': 'l1', 'vect__smooth_idf': False, 'vect__sublinear_tf': True, 'vect__use_idf': False}; mean - 0.80; std - 0.01
22 params - {'clf__dual': True, 'clf__loss': 'hinge', 'vect__ngram_range': (1, 2), 'vect__norm': 'l1', 'vect__smooth_idf': False, 'vect__sublinear_tf': False, 'vect__use_idf': True}; mean - 0.80; std - 0.01
23 params - {'clf__dual': True, 'clf__loss': 'hinge', 'vect__ngram_range': (1, 2), 'vect__norm': 'l1', 'vect__smooth_idf': False, 'vect__sublinear_tf': False, 'vect__use_idf': False}; mean - 0.80; std - 0.01
24 params - {'clf__dual': True, 'clf__loss': 'hinge', 'vect__ngram_range': (1, 2), 'vect__norm': 'l2', 'vect__smooth_idf': True, 'vect__sublinear_tf': True, 'vect__use_idf': True}; mean - 0.80; std - 0.01
25 params - {'clf__dual': True, 'clf__loss': 'hinge', 'vect__ngram_range': (1, 2), 'vect__norm': 'l2', 'vect__smooth_idf': True, 'vect__sublinear_tf': True, 'vect__use_idf': False}; mean - 0.80; std - 0.01
26 params - {'clf__dual': True, 'clf__loss': 'hinge', 'vect__ngram_range': (1, 2), 'vect__norm': 'l2', 'vect__smooth_idf': True, 'vect__sublinear_tf': False, 'vect__use_idf': True}; mean - 0.80; std - 0.01
27 params - {'clf__dual': True, 'clf__loss': 'hinge', 'vect__ngram_range': (1, 2), 'vect__norm': 'l2', 'vect__smooth_idf': True, 'vect__sublinear_tf': False, 'vect__use_idf': False}; mean - 0.81; std - 0.01
28 params - {'clf__dual': True, 'clf__loss': 'hinge', 'vect__ngram_range': (1, 2), 'vect__norm': 'l2', 'vect__smooth_idf': False, 'vect__sublinear_tf': True, 'vect__use_idf': True}; mean - 0.80; std - 0.01
29 params - {'clf__dual': True, 'clf__loss': 'hinge', 'vect__ngram_range': (1, 2), 'vect__norm': 'l2', 'vect__smooth_idf': False, 'vect__sublinear_tf': True, 'vect__use_idf': False}; mean - 0.80; std - 0.01
30 params - {'clf__dual': True, 'clf__loss': 'hinge', 'vect__ngram_range': (1, 2), 'vect__norm': 'l2', 'vect__smooth_idf': False, 'vect__sublinear_tf': False, 'vect__use_idf': True}; mean - 0.80; std - 0.01
31 params - {'clf__dual': True, 'clf__loss': 'hinge', 'vect__ngram_range': (1, 2), 'vect__norm': 'l2', 'vect__smooth_idf': False, 'vect__sublinear_tf': False, 'vect__use_idf': False}; mean - 0.81; std - 0.01
32 params - {'clf__dual': True, 'clf__loss': 'hinge', 'vect__ngram_range': (2, 2), 'vect__norm': 'l1', 'vect__smooth_idf': True, 'vect__sublinear_tf': True, 'vect__use_idf': True}; mean - 0.75; std - 0.01
33 params - {'clf__dual': True, 'clf__loss': 'hinge', 'vect__ngram_range': (2, 2), 'vect__norm': 'l1', 'vect__smooth_idf': True, 'vect__sublinear_tf': True, 'vect__use_idf': False}; mean - 0.74; std - 0.01
34 params - {'clf__dual': True, 'clf__loss': 'hinge', 'vect__ngram_range': (2, 2), 'vect__norm': 'l1', 'vect__smooth_idf': True, 'vect__sublinear_tf': False, 'vect__use_idf': True}; mean - 0.74; std - 0.01
35 params - {'clf__dual': True, 'clf__loss': 'hinge', 'vect__ngram_range': (2, 2), 'vect__norm': 'l1', 'vect__smooth_idf': True, 'vect__sublinear_tf': False, 'vect__use_idf': False}; mean - 0.73; std - 0.01
36 params - {'clf__dual': True, 'clf__loss': 'hinge', 'vect__ngram_range': (2, 2), 'vect__norm': 'l1', 'vect__smooth_idf': False, 'vect__sublinear_tf': True, 'vect__use_idf': True}; mean - 0.74; std - 0.01
37 params - {'clf__dual': True, 'clf__loss': 'hinge', 'vect__ngram_range': (2, 2), 'vect__norm': 'l1', 'vect__smooth_idf': False, 'vect__sublinear_tf': True, 'vect__use_idf': False}; mean - 0.74; std - 0.01
38 params - {'clf__dual': True, 'clf__loss': 'hinge', 'vect__ngram_range': (2, 2), 'vect__norm': 'l1', 'vect__smooth_idf': False, 'vect__sublinear_tf': False, 'vect__use_idf': True}; mean - 0.74; std - 0.01
39 params - {'clf__dual': True, 'clf__loss': 'hinge', 'vect__ngram_range': (2, 2), 'vect__norm': 'l1', 'vect__smooth_idf': False, 'vect__sublinear_tf': False, 'vect__use_idf': False}; mean - 0.73; std - 0.01
