>>>Applying grid seach
>>>Generanting test/train split
Fitting 5 folds for each of 480 candidates, totalling 2400 fits
0 params - {'clf__class_weight': 'balanced', 'clf__solver': 'newton-cg', 'vect__ngram_range': (1, 1), 'vect__norm': 'l1', 'vect__smooth_idf': True, 'vect__sublinear_tf': True, 'vect__use_idf': True}; mean - 0.81; std - 0.01
1 params - {'clf__class_weight': 'balanced', 'clf__solver': 'newton-cg', 'vect__ngram_range': (1, 1), 'vect__norm': 'l1', 'vect__smooth_idf': True, 'vect__sublinear_tf': True, 'vect__use_idf': False}; mean - 0.81; std - 0.01
2 params - {'clf__class_weight': 'balanced', 'clf__solver': 'newton-cg', 'vect__ngram_range': (1, 1), 'vect__norm': 'l1', 'vect__smooth_idf': True, 'vect__sublinear_tf': False, 'vect__use_idf': True}; mean - 0.81; std - 0.01
3 params - {'clf__class_weight': 'balanced', 'clf__solver': 'newton-cg', 'vect__ngram_range': (1, 1), 'vect__norm': 'l1', 'vect__smooth_idf': True, 'vect__sublinear_tf': False, 'vect__use_idf': False}; mean - 0.81; std - 0.00
4 params - {'clf__class_weight': 'balanced', 'clf__solver': 'newton-cg', 'vect__ngram_range': (1, 1), 'vect__norm': 'l1', 'vect__smooth_idf': False, 'vect__sublinear_tf': True, 'vect__use_idf': True}; mean - 0.81; std - 0.01
5 params - {'clf__class_weight': 'balanced', 'clf__solver': 'newton-cg', 'vect__ngram_range': (1, 1), 'vect__norm': 'l1', 'vect__smooth_idf': False, 'vect__sublinear_tf': True, 'vect__use_idf': False}; mean - 0.81; std - 0.01
6 params - {'clf__class_weight': 'balanced', 'clf__solver': 'newton-cg', 'vect__ngram_range': (1, 1), 'vect__norm': 'l1', 'vect__smooth_idf': False, 'vect__sublinear_tf': False, 'vect__use_idf': True}; mean - 0.81; std - 0.01
7 params - {'clf__class_weight': 'balanced', 'clf__solver': 'newton-cg', 'vect__ngram_range': (1, 1), 'vect__norm': 'l1', 'vect__smooth_idf': False, 'vect__sublinear_tf': False, 'vect__use_idf': False}; mean - 0.81; std - 0.00
8 params - {'clf__class_weight': 'balanced', 'clf__solver': 'newton-cg', 'vect__ngram_range': (1, 1), 'vect__norm': 'l2', 'vect__smooth_idf': True, 'vect__sublinear_tf': True, 'vect__use_idf': True}; mean - 0.79; std - 0.01
9 params - {'clf__class_weight': 'balanced', 'clf__solver': 'newton-cg', 'vect__ngram_range': (1, 1), 'vect__norm': 'l2', 'vect__smooth_idf': True, 'vect__sublinear_tf': True, 'vect__use_idf': False}; mean - 0.79; std - 0.01
10 params - {'clf__class_weight': 'balanced', 'clf__solver': 'newton-cg', 'vect__ngram_range': (1, 1), 'vect__norm': 'l2', 'vect__smooth_idf': True, 'vect__sublinear_tf': False, 'vect__use_idf': True}; mean - 0.79; std - 0.01
11 params - {'clf__class_weight': 'balanced', 'clf__solver': 'newton-cg', 'vect__ngram_range': (1, 1), 'vect__norm': 'l2', 'vect__smooth_idf': True, 'vect__sublinear_tf': False, 'vect__use_idf': False}; mean - 0.80; std - 0.01
12 params - {'clf__class_weight': 'balanced', 'clf__solver': 'newton-cg', 'vect__ngram_range': (1, 1), 'vect__norm': 'l2', 'vect__smooth_idf': False, 'vect__sublinear_tf': True, 'vect__use_idf': True}; mean - 0.79; std - 0.01
13 params - {'clf__class_weight': 'balanced', 'clf__solver': 'newton-cg', 'vect__ngram_range': (1, 1), 'vect__norm': 'l2', 'vect__smooth_idf': False, 'vect__sublinear_tf': True, 'vect__use_idf': False}; mean - 0.79; std - 0.01
14 params - {'clf__class_weight': 'balanced', 'clf__solver': 'newton-cg', 'vect__ngram_range': (1, 1), 'vect__norm': 'l2', 'vect__smooth_idf': False, 'vect__sublinear_tf': False, 'vect__use_idf': True}; mean - 0.79; std - 0.01
15 params - {'clf__class_weight': 'balanced', 'clf__solver': 'newton-cg', 'vect__ngram_range': (1, 1), 'vect__norm': 'l2', 'vect__smooth_idf': False, 'vect__sublinear_tf': False, 'vect__use_idf': False}; mean - 0.80; std - 0.01
16 params - {'clf__class_weight': 'balanced', 'clf__solver': 'newton-cg', 'vect__ngram_range': (1, 2), 'vect__norm': 'l1', 'vect__smooth_idf': True, 'vect__sublinear_tf': True, 'vect__use_idf': True}; mean - 0.81; std - 0.01
17 params - {'clf__class_weight': 'balanced', 'clf__solver': 'newton-cg', 'vect__ngram_range': (1, 2), 'vect__norm': 'l1', 'vect__smooth_idf': True, 'vect__sublinear_tf': True, 'vect__use_idf': False}; mean - 0.81; std - 0.01
18 params - {'clf__class_weight': 'balanced', 'clf__solver': 'newton-cg', 'vect__ngram_range': (1, 2), 'vect__norm': 'l1', 'vect__smooth_idf': True, 'vect__sublinear_tf': False, 'vect__use_idf': True}; mean - 0.80; std - 0.00
19 params - {'clf__class_weight': 'balanced', 'clf__solver': 'newton-cg', 'vect__ngram_range': (1, 2), 'vect__norm': 'l1', 'vect__smooth_idf': True, 'vect__sublinear_tf': False, 'vect__use_idf': False}; mean - 0.81; std - 0.00
20 params - {'clf__class_weight': 'balanced', 'clf__solver': 'newton-cg', 'vect__ngram_range': (1, 2), 'vect__norm': 'l1', 'vect__smooth_idf': False, 'vect__sublinear_tf': True, 'vect__use_idf': True}; mean - 0.81; std - 0.01
21 params - {'clf__class_weight': 'balanced', 'clf__solver': 'newton-cg', 'vect__ngram_range': (1, 2), 'vect__norm': 'l1', 'vect__smooth_idf': False, 'vect__sublinear_tf': True, 'vect__use_idf': False}; mean - 0.81; std - 0.01
22 params - {'clf__class_weight': 'balanced', 'clf__solver': 'newton-cg', 'vect__ngram_range': (1, 2), 'vect__norm': 'l1', 'vect__smooth_idf': False, 'vect__sublinear_tf': False, 'vect__use_idf': True}; mean - 0.80; std - 0.00
23 params - {'clf__class_weight': 'balanced', 'clf__solver': 'newton-cg', 'vect__ngram_range': (1, 2), 'vect__norm': 'l1', 'vect__smooth_idf': False, 'vect__sublinear_tf': False, 'vect__use_idf': False}; mean - 0.81; std - 0.00
24 params - {'clf__class_weight': 'balanced', 'clf__solver': 'newton-cg', 'vect__ngram_range': (1, 2), 'vect__norm': 'l2', 'vect__smooth_idf': True, 'vect__sublinear_tf': True, 'vect__use_idf': True}; mean - 0.80; std - 0.01
25 params - {'clf__class_weight': 'balanced', 'clf__solver': 'newton-cg', 'vect__ngram_range': (1, 2), 'vect__norm': 'l2', 'vect__smooth_idf': True, 'vect__sublinear_tf': True, 'vect__use_idf': False}; mean - 0.81; std - 0.01
26 params - {'clf__class_weight': 'balanced', 'clf__solver': 'newton-cg', 'vect__ngram_range': (1, 2), 'vect__norm': 'l2', 'vect__smooth_idf': True, 'vect__sublinear_tf': False, 'vect__use_idf': True}; mean - 0.80; std - 0.00
27 params - {'clf__class_weight': 'balanced', 'clf__solver': 'newton-cg', 'vect__ngram_range': (1, 2), 'vect__norm': 'l2', 'vect__smooth_idf': True, 'vect__sublinear_tf': False, 'vect__use_idf': False}; mean - 0.80; std - 0.01
28 params - {'clf__class_weight': 'balanced', 'clf__solver': 'newton-cg', 'vect__ngram_range': (1, 2), 'vect__norm': 'l2', 'vect__smooth_idf': False, 'vect__sublinear_tf': True, 'vect__use_idf': True}; mean - 0.80; std - 0.00
29 params - {'clf__class_weight': 'balanced', 'clf__solver': 'newton-cg', 'vect__ngram_range': (1, 2), 'vect__norm': 'l2', 'vect__smooth_idf': False, 'vect__sublinear_tf': True, 'vect__use_idf': False}; mean - 0.81; std - 0.01
30 params - {'clf__class_weight': 'balanced', 'clf__solver': 'newton-cg', 'vect__ngram_range': (1, 2), 'vect__norm': 'l2', 'vect__smooth_idf': False, 'vect__sublinear_tf': False, 'vect__use_idf': True}; mean - 0.80; std - 0.00
31 params - {'clf__class_weight': 'balanced', 'clf__solver': 'newton-cg', 'vect__ngram_range': (1, 2), 'vect__norm': 'l2', 'vect__smooth_idf': False, 'vect__sublinear_tf': False, 'vect__use_idf': False}; mean - 0.80; std - 0.01
32 params - {'clf__class_weight': 'balanced', 'clf__solver': 'newton-cg', 'vect__ngram_range': (2, 2), 'vect__norm': 'l1', 'vect__smooth_idf': True, 'vect__sublinear_tf': True, 'vect__use_idf': True}; mean - 0.75; std - 0.00
33 params - {'clf__class_weight': 'balanced', 'clf__solver': 'newton-cg', 'vect__ngram_range': (2, 2), 'vect__norm': 'l1', 'vect__smooth_idf': True, 'vect__sublinear_tf': True, 'vect__use_idf': False}; mean - 0.74; std - 0.00
34 params - {'clf__class_weight': 'balanced', 'clf__solver': 'newton-cg', 'vect__ngram_range': (2, 2), 'vect__norm': 'l1', 'vect__smooth_idf': True, 'vect__sublinear_tf': False, 'vect__use_idf': True}; mean - 0.75; std - 0.01
35 params - {'clf__class_weight': 'balanced', 'clf__solver': 'newton-cg', 'vect__ngram_range': (2, 2), 'vect__norm': 'l1', 'vect__smooth_idf': True, 'vect__sublinear_tf': False, 'vect__use_idf': False}; mean - 0.74; std - 0.00
36 params - {'clf__class_weight': 'balanced', 'clf__solver': 'newton-cg', 'vect__ngram_range': (2, 2), 'vect__norm': 'l1', 'vect__smooth_idf': False, 'vect__sublinear_tf': True, 'vect__use_idf': True}; mean - 0.75; std - 0.00
37 params - {'clf__class_weight': 'balanced', 'clf__solver': 'newton-cg', 'vect__ngram_range': (2, 2), 'vect__norm': 'l1', 'vect__smooth_idf': False, 'vect__sublinear_tf': True, 'vect__use_idf': False}; mean - 0.74; std - 0.00
38 params - {'clf__class_weight': 'balanced', 'clf__solver': 'newton-cg', 'vect__ngram_range': (2, 2), 'vect__norm': 'l1', 'vect__smooth_idf': False, 'vect__sublinear_tf': False, 'vect__use_idf': True}; mean - 0.75; std - 0.01
39 params - {'clf__class_weight': 'balanced', 'clf__solver': 'newton-cg', 'vect__ngram_range': (2, 2), 'vect__norm': 'l1', 'vect__smooth_idf': False, 'vect__sublinear_tf': False, 'vect__use_idf': False}; mean - 0.74; std - 0.00
40 params - {'clf__class_weight': 'balanced', 'clf__solver': 'newton-cg', 'vect__ngram_range': (2, 2), 'vect__norm': 'l2', 'vect__smooth_idf': True, 'vect__sublinear_tf': True, 'vect__use_idf': True}; mean - 0.75; std - 0.01
41 params - {'clf__class_weight': 'balanced', 'clf__solver': 'newton-cg', 'vect__ngram_range': (2, 2), 'vect__norm': 'l2', 'vect__smooth_idf': True, 'vect__sublinear_tf': True, 'vect__use_idf': False}; mean - 0.74; std - 0.01
42 params - {'clf__class_weight': 'balanced', 'clf__solver': 'newton-cg', 'vect__ngram_range': (2, 2), 'vect__norm': 'l2', 'vect__smooth_idf': True, 'vect__sublinear_tf': False, 'vect__use_idf': True}; mean - 0.74; std - 0.01
43 params - {'clf__class_weight': 'balanced', 'clf__solver': 'newton-cg', 'vect__ngram_range': (2, 2), 'vect__norm': 'l2', 'vect__smooth_idf': True, 'vect__sublinear_tf': False, 'vect__use_idf': False}; mean - 0.73; std - 0.01
44 params - {'clf__class_weight': 'balanced', 'clf__solver': 'newton-cg', 'vect__ngram_range': (2, 2), 'vect__norm': 'l2', 'vect__smooth_idf': False, 'vect__sublinear_tf': True, 'vect__use_idf': True}; mean - 0.75; std - 0.01
45 params - {'clf__class_weight': 'balanced', 'clf__solver': 'newton-cg', 'vect__ngram_range': (2, 2), 'vect__norm': 'l2', 'vect__smooth_idf': False, 'vect__sublinear_tf': True, 'vect__use_idf': False}; mean - 0.74; std - 0.01
46 params - {'clf__class_weight': 'balanced', 'clf__solver': 'newton-cg', 'vect__ngram_range': (2, 2), 'vect__norm': 'l2', 'vect__smooth_idf': False, 'vect__sublinear_tf': False, 'vect__use_idf': True}; mean - 0.74; std - 0.01
47 params - {'clf__class_weight': 'balanced', 'clf__solver': 'newton-cg', 'vect__ngram_range': (2, 2), 'vect__norm': 'l2', 'vect__smooth_idf': False, 'vect__sublinear_tf': False, 'vect__use_idf': False}; mean - 0.73; std - 0.01
48 params - {'clf__class_weight': 'balanced', 'clf__solver': 'lbfgs', 'vect__ngram_range': (1, 1), 'vect__norm': 'l1', 'vect__smooth_idf': True, 'vect__sublinear_tf': True, 'vect__use_idf': True}; mean - 0.81; std - 0.01
49 params - {'clf__class_weight': 'balanced', 'clf__solver': 'lbfgs', 'vect__ngram_range': (1, 1), 'vect__norm': 'l1', 'vect__smooth_idf': True, 'vect__sublinear_tf': True, 'vect__use_idf': False}; mean - 0.81; std - 0.01
50 params - {'clf__class_weight': 'balanced', 'clf__solver': 'lbfgs', 'vect__ngram_range': (1, 1), 'vect__norm': 'l1', 'vect__smooth_idf': True, 'vect__sublinear_tf': False, 'vect__use_idf': True}; mean - 0.81; std - 0.01
51 params - {'clf__class_weight': 'balanced', 'clf__solver': 'lbfgs', 'vect__ngram_range': (1, 1), 'vect__norm': 'l1', 'vect__smooth_idf': True, 'vect__sublinear_tf': False, 'vect__use_idf': False}; mean - 0.81; std - 0.00
52 params - {'clf__class_weight': 'balanced', 'clf__solver': 'lbfgs', 'vect__ngram_range': (1, 1), 'vect__norm': 'l1', 'vect__smooth_idf': False, 'vect__sublinear_tf': True, 'vect__use_idf': True}; mean - 0.81; std - 0.01
53 params - {'clf__class_weight': 'balanced', 'clf__solver': 'lbfgs', 'vect__ngram_range': (1, 1), 'vect__norm': 'l1', 'vect__smooth_idf': False, 'vect__sublinear_tf': True, 'vect__use_idf': False}; mean - 0.81; std - 0.01
